src_ip,dst_ip,src_port,dst_port,proto,time_bucket,start_time,end_time,duration,packet_count,byte_count,pps,bps,label
192.168.0.106,192.168.10.100,41556,80,6,1,2025-11-27T23:31:08.078077+09:00,2025-11-27T23:31:08.444525+09:00,0.36644792556762695,11,1234,30.01790768213799,3367.4634617962074,0
192.168.10.100,192.168.0.106,80,41556,6,1,2025-11-27T23:31:08.111807+09:00,2025-11-27T23:31:08.439130+09:00,0.32732295989990234,12,10417,36.661039615643475,31824.837473013173,0
192.168.0.106,192.168.10.100,41558,80,6,1,2025-11-27T23:31:08.438809+09:00,2025-11-27T23:31:08.444704+09:00,0.005895137786865234,2,128,339.262638518159,21712.808865162177,0
192.168.10.100,192.168.0.106,80,41558,6,1,2025-11-27T23:31:08.443696+09:00,2025-11-27T23:31:08.443696+09:00,1e-06,1,62,1000000.0,62000000.0,0
192.168.0.106,192.168.10.100,57896,81,6,3,2025-11-27T23:31:12.394657+09:00,2025-11-27T23:31:14.797167+09:00,2.402510166168213,137,7760,57.023692107202464,3229.9551149773074,0
192.168.10.100,192.168.0.106,81,57896,6,3,2025-11-27T23:31:12.436359+09:00,2025-11-27T23:31:14.795921+09:00,2.3595621585845947,170,207802,72.04726494765286,88068.03382736565,0
192.168.10.100,192.168.0.106,81,57896,6,4,2025-11-27T23:31:14.827790+09:00,2025-11-27T23:31:17.803084+09:00,2.9752938747406006,324,382725,108.8968060434863,128634.35213886818,0
192.168.0.106,192.168.10.100,57896,81,6,4,2025-11-27T23:31:14.829108+09:00,2025-11-27T23:31:17.804932+09:00,2.9758241176605225,260,14040,87.37075503118172,4718.020771683813,0
192.168.10.100,192.168.0.106,81,57896,6,5,2025-11-27T23:31:17.842557+09:00,2025-11-27T23:31:20.755054+09:00,2.912497043609619,295,351189,101.28765646209554,120580.03656022668,0
192.168.0.106,192.168.10.100,57896,81,6,5,2025-11-27T23:31:17.843657+09:00,2025-11-27T23:31:20.689391+09:00,2.845733880996704,164,8856,57.63012525351099,3112.0267636895937,0
192.168.0.106,192.168.10.100,41556,80,6,5,2025-11-27T23:31:18.446203+09:00,2025-11-27T23:31:18.446203+09:00,1e-06,1,54,1000000.0,54000000.0,0
192.168.10.100,192.168.0.106,80,41556,6,5,2025-11-27T23:31:18.503780+09:00,2025-11-27T23:31:18.503780+09:00,1e-06,1,54,1000000.0,54000000.0,0
192.168.0.106,192.168.10.100,57896,81,6,6,2025-11-27T23:31:20.958735+09:00,2025-11-27T23:31:23.812315+09:00,2.8535799980163574,197,10638,69.03608804972804,3727.948754685314,0
